time,vdd,vres
-4.67080e-02,0.112188,0.010575
-4.67040e-02,0.11875,0.0109844
-4.67000e-02,0.1125,0.0105969
-4.66960e-02,0.107188,0.0104531
-4.66920e-02,0.11625,0.0105406
-4.66880e-02,0.117812,0.0106719
-4.66840e-02,0.106875,0.0108313
-4.66800e-02,0.1175,0.0106625
-4.66760e-02,0.110937,0.0106813
-4.66720e-02,0.105625,0.0104812
-4.66680e-02,0.110625,0.0105875
-4.66640e-02,0.115,0.0107906
-4.66600e-02,0.107188,0.0104375
-4.66560e-02,0.110937,0.0103719
-4.66520e-02,0.105938,0.0106687
-4.66480e-02,0.11375,0.0104125
-4.66440e-02,0.10625,0.009975
-4.66400e-02,0.113125,0.00984687
-4.66360e-02,0.11625,0.0100781
-4.66320e-02,0.111875,0.0104094
-4.66280e-02,0.114063,0.0102125
-4.66240e-02,0.113125,0.0103
-4.66200e-02,0.116563,0.0101469
-4.66160e-02,0.112188,0.00975625
-4.66120e-02,0.115938,0.010025
-4.66080e-02,0.1125,0.0108
-4.66040e-02,0.110937,0.0105656
-4.66000e-02,0.107813,0.0103156
-4.65960e-02,0.116563,0.0100625
-4.65920e-02,0.105625,0.0101875
-4.65880e-02,0.111875,0.0107844
-4.65840e-02,0.109375,0.0109125
-4.65800e-02,0.112812,0.0107594
-4.65760e-02,0.112188,0.0101875
-4.65720e-02,0.112188,0.0104406
-4.65680e-02,0.113125,0.0103188
-4.65640e-02,0.113125,0.0108094
-4.65600e-02,0.115938,0.010625
-4.65560e-02,0.116563,0.0103969
-4.65520e-02,0.115938,0.0103656
-4.65480e-02,0.117812,0.0107469
-4.65440e-02,0.112188,0.01055
-4.65400e-02,0.109375,0.0105
-4.65360e-02,0.1125,0.010175
-4.65320e-02,0.117812,0.0106281
-4.65280e-02,0.114688,0.0104969
-4.65240e-02,0.10875,0.0099
-4.65200e-02,0.110937,0.00975
-4.65160e-02,0.109688,0.009575
-4.65120e-02,0.113437,0.0105594
-4.65080e-02,0.112812,0.0103031
-4.65040e-02,0.10875,0.0105437
-4.65000e-02,0.11875,0.0102625
-4.64960e-02,0.1125,0.00995625
-4.64920e-02,0.116875,0.0100563
-4.64880e-02,0.11375,0.010475
-4.64840e-02,0.114375,0.0106781
-4.64800e-02,0.115,0.0105406
-4.64760e-02,0.1175,0.0102781
-4.64720e-02,0.106875,0.0101406
-4.64680e-02,0.114375,0.0103781
-4.64640e-02,0.106562,0.0105781
-4.64600e-02,0.10875,0.0107344
-4.64560e-02,0.12,0.0103531
-4.64520e-02,0.113125,0.0101625
-4.64480e-02,0.10875,0.0105406
-4.64440e-02,0.108437,0.0107156
-4.64400e-02,0.11125,0.0106062
-4.64360e-02,0.116563,0.010575
-4.64320e-02,0.116875,0.01075
-4.64280e-02,0.109063,0.010775
-4.64240e-02,0.114063,0.0105219
-4.64200e-02,0.10625,0.0103
-4.64160e-02,0.115,0.0103031
-4.64120e-02,0.112812,0.0102625
-4.64080e-02,0.10875,0.0103281
-4.64040e-02,0.11125,0.0103969
-4.64000e-02,0.115312,0.009625
-4.63960e-02,0.11375,0.00992187
-4.63920e-02,0.105938,0.00995625
-4.63880e-02,0.109375,0.0103813
-4.63840e-02,0.102813,0.0105188
-4.63800e-02,0.109063,0.0101375
-4.63760e-02,0.11375,0.00995625
-4.63720e-02,0.107188,0.00988125
-4.63680e-02,0.115,0.0103313
-4.63640e-02,0.107813,0.0106875
-4.63600e-02,0.10875,0.0105969
-4.63560e-02,0.119375,0.0108156
-4.63520e-02,0.11625,0.0102656
-4.63480e-02,0.114063,0.0103156
-4.63440e-02,0.11875,0.0104938
-4.63400e-02,0.109063,0.0106094
-4.63360e-02,0.110625,0.0105875
-4.63320e-02,0.117812,0.0102469
-4.63280e-02,0.110625,0.0104875
-4.63240e-02,0.11125,0.0107187
-4.63200e-02,0.115938,0.0107156
-4.63160e-02,0.11125,0.0103594
-4.63120e-02,0.11,0.0104469
-4.63080e-02,0.115938,0.0105188
-4.63040e-02,0.119063,0.0104563
-4.63000e-02,0.109688,0.0105531
-4.62960e-02,0.110625,0.0100219
-4.62920e-02,0.115625,0.0103313
-4.62880e-02,0.110313,0.01045
-4.62840e-02,0.111875,0.0106281
-4.62800e-02,0.110625,0.00996875
-4.62760e-02,0.1125,0.00965625
-4.62720e-02,0.113125,0.00997187
-4.62680e-02,0.11625,0.0103469
-4.62640e-02,0.113437,0.0103656
-4.62600e-02,0.112188,0.0103656
-4.62560e-02,0.10625,0.00986563
-4.62520e-02,0.112188,0.0100594
-4.62480e-02,0.106875,0.0100125
-4.62440e-02,0.10875,0.0104656
-4.62400e-02,0.115625,0.0104812
-4.62360e-02,0.108437,0.0107219
-4.62320e-02,0.110937,0.0102531
-4.62280e-02,0.112812,0.0102781
-4.62240e-02,0.109688,0.0106781
-4.62200e-02,0.111563,0.0106125
-4.62160e-02,0.11625,0.0108063
-4.62120e-02,0.117812,0.0103781
-4.62080e-02,0.109375,0.0102844
-4.62040e-02,0.117812,0.0105
-4.62000e-02,0.110937,0.0106188
-4.61960e-02,0.104062,0.0106938
-4.61920e-02,0.108437,0.0104281
-4.61880e-02,0.10375,0.0104
-4.61840e-02,0.1125,0.0105531
